id,lon,lat
PZB00752_1,-98.4874444444,19.0838888889
PZB00752_1,-102.0684444444,20.1393888889
PZB00752_1,-98.8661388889,19.22625
PZB00752_1,-100.64,19.68
PZB00752_1,-101.61,19.42
PZB00752_1,-99.03,18.97
PZB00752_1,-101.49,20.11
PZB00752_1,-98.1854166667,19.1594722222
PZB00752_1,-98.49,19.09
PZB00752_1,-101.64,19.42
PZB00752_1,-100.8848888889,19.9917222222
PZB00752_1,-100.8496666667,19.9581944444
PZB00752_1,-101.3730833333,20.1607222222
PZB00752_1,-101.4341666667,20.1338055556
PZB00752_1,-101.2354166667,19.9646111111
PZB00752_1,-102.0898333333,20.7195555556
PZB00752_1,-98.8637222222,19.1397777778
PZB00752_1,-99.59,19.12
PZB00752_1,-98.9146111111,19.5025277778
PZB00752_1,-99.6270555556,19.4074722222
PZB00752_1,-99.08,19.29
PZE_101131783,-98.4874444444,19.0838888889
PZE_101131783,-98.8661388889,19.22625
PZE_101131783,-100.64,19.68
PZE_101131783,-102.37,20.17
PZE_101131783,-101.61,19.42
PZE_101131783,-101.49,20.11
PZE_101131783,-98.1854166667,19.1594722222
PZE_101131783,-98.49,19.09
PZE_101131783,-101.64,19.42
PZE_101131783,-100.8848888889,19.9917222222
PZE_101131783,-100.8496666667,19.9581944444
PZE_101131783,-100.9599166667,19.9828055556
PZE_101131783,-101.0881111111,20.0531944444
PZE_101131783,-101.3730833333,20.1607222222
PZE_101131783,-101.4341666667,20.1338055556
PZE_101131783,-101.2354166667,19.9646111111
PZE_101131783,-102.0898333333,20.7195555556
PZE_101131783,-98.8637222222,19.1397777778
PZE_101131783,-99.59,19.12
PZE_101131783,-98.9146111111,19.5025277778
PZE_101131783,-99.6270555556,19.4074722222
PZE_101131783,-99.08,19.29
PZE_101131788,-98.4874444444,19.0838888889
PZE_101131788,-98.8661388889,19.22625
PZE_101131788,-100.64,19.68
PZE_101131788,-102.37,20.17
PZE_101131788,-101.61,19.42
PZE_101131788,-101.49,20.11
PZE_101131788,-98.1854166667,19.1594722222
PZE_101131788,-98.49,19.09
PZE_101131788,-101.64,19.42
PZE_101131788,-100.8848888889,19.9917222222
PZE_101131788,-100.8496666667,19.9581944444
PZE_101131788,-100.9599166667,19.9828055556
PZE_101131788,-101.0881111111,20.0531944444
PZE_101131788,-101.3730833333,20.1607222222
PZE_101131788,-101.4341666667,20.1338055556
PZE_101131788,-101.2354166667,19.9646111111
PZE_101131788,-102.0898333333,20.7195555556
PZE_101131788,-98.8637222222,19.1397777778
PZE_101131788,-99.59,19.12
PZE_101131788,-98.9146111111,19.5025277778
PZE_101131788,-99.6270555556,19.4074722222
PZE_101131788,-99.08,19.29
PZE_101132612,-98.4874444444,19.0838888889
PZE_101132612,-102.0684444444,20.1393888889
PZE_101132612,-98.8661388889,19.22625
PZE_101132612,-100.64,19.68
PZE_101132612,-102.37,20.17
PZE_101132612,-101.61,19.42
PZE_101132612,-99.03,18.97
PZE_101132612,-101.49,20.11
PZE_101132612,-98.1854166667,19.1594722222
PZE_101132612,-98.49,19.09
PZE_101132612,-101.64,19.42
