id,lon,lat
PUT_163a_148928873_366,-98.4874444444,19.0838888889
PUT_163a_148928873_366,-102.0684444444,20.1393888889
PUT_163a_148928873_366,-98.8661388889,19.22625
PUT_163a_148928873_366,-100.64,19.68
PUT_163a_148928873_366,-101.61,19.42
PUT_163a_148928873_366,-99.03,18.97
PUT_163a_148928873_366,-101.49,20.11
PUT_163a_148928873_366,-98.1854166667,19.1594722222
PUT_163a_148928873_366,-98.49,19.09
PUT_163a_148928873_366,-101.64,19.42
PUT_163a_148928873_366,-100.9599166667,19.9828055556
PUT_163a_148928873_366,-101.0881111111,20.0531944444
PUT_163a_148928873_366,-101.3730833333,20.1607222222
PUT_163a_148928873_366,-101.2354166667,19.9646111111
PUT_163a_148928873_366,-102.0898333333,20.7195555556
PUT_163a_148928873_366,-98.8637222222,19.1397777778
PUT_163a_148928873_366,-99.59,19.12
PUT_163a_148928873_366,-98.9146111111,19.5025277778
PUT_163a_148928873_366,-99.6270555556,19.4074722222
PUT_163a_148928873_366,-99.08,19.29
PZE_100001195,-102.0684444444,20.1393888889
PZE_100001195,-98.8661388889,19.22625
PZE_100001195,-100.64,19.68
PZE_100001195,-102.37,20.17
PZE_100001195,-101.61,19.42
PZE_100001195,-99.03,18.97
PZE_100001195,-101.49,20.11
PZE_100001195,-98.1854166667,19.1594722222
PZE_100001195,-101.64,19.42
PZE_100001195,-100.8848888889,19.9917222222
PZE_100001195,-100.8496666667,19.9581944444
PZE_100001195,-100.9599166667,19.9828055556
PZE_100001195,-101.0881111111,20.0531944444
PZE_100001195,-101.3730833333,20.1607222222
PZE_100001195,-101.4341666667,20.1338055556
PZE_100001195,-101.2354166667,19.9646111111
PZE_100001195,-102.0898333333,20.7195555556
PZE_100001195,-98.8637222222,19.1397777778
PZE_100001195,-98.9146111111,19.5025277778
PZE_100001195,-99.6270555556,19.4074722222
PZE_102143911,-98.4874444444,19.0838888889
PZE_102143911,-98.8661388889,19.22625
PZE_102143911,-100.64,19.68
PZE_102143911,-101.61,19.42
PZE_102143911,-101.49,20.11
PZE_102143911,-98.1854166667,19.1594722222
PZE_102143911,-98.49,19.09
PZE_102143911,-101.64,19.42
PZE_102143911,-100.8848888889,19.9917222222
PZE_102143911,-100.8496666667,19.9581944444
PZE_102143911,-100.9599166667,19.9828055556
PZE_102143911,-101.0881111111,20.0531944444
PZE_102143911,-101.3730833333,20.1607222222
PZE_102143911,-101.4341666667,20.1338055556
PZE_102143911,-101.2354166667,19.9646111111
PZE_102143911,-102.0898333333,20.7195555556
PZE_102143911,-98.8637222222,19.1397777778
PZE_102143911,-99.59,19.12
PZE_102143911,-98.9146111111,19.5025277778
PZE_102143911,-99.6270555556,19.4074722222
PZE_102143911,-99.08,19.29
PZE_108035280,-98.4874444444,19.0838888889
PZE_108035280,-98.8661388889,19.22625
PZE_108035280,-100.64,19.68
PZE_108035280,-101.61,19.42
PZE_108035280,-99.03,18.97
PZE_108035280,-101.49,20.11
PZE_108035280,-98.1854166667,19.1594722222
PZE_108035280,-98.49,19.09
PZE_108035280,-101.64,19.42
PZE_108035280,-100.8848888889,19.9917222222
PZE_108035280,-100.8496666667,19.9581944444
PZE_108035280,-100.9599166667,19.9828055556
PZE_108035280,-101.0881111111,20.0531944444
PZE_108035280,-101.3730833333,20.1607222222
PZE_108035280,-101.4341666667,20.1338055556
PZE_108035280,-101.2354166667,19.9646111111
PZE_108035280,-102.0898333333,20.7195555556
PZE_108035280,-98.8637222222,19.1397777778
PZE_108035280,-99.59,19.12
PZE_108035280,-98.9146111111,19.5025277778
PZE_108035280,-99.6270555556,19.4074722222
PZE_108035280,-99.08,19.29
PZE_109096578,-98.4874444444,19.0838888889
PZE_109096578,-102.0684444444,20.1393888889
PZE_109096578,-98.8661388889,19.22625
PZE_109096578,-100.64,19.68
PZE_109096578,-102.37,20.17
PZE_109096578,-101.61,19.42
PZE_109096578,-99.03,18.97
PZE_109096578,-101.49,20.11
PZE_109096578,-98.1854166667,19.1594722222
PZE_109096578,-101.64,19.42
PZE_109096578,-100.8848888889,19.9917222222
PZE_109096578,-100.8496666667,19.9581944444
PZE_109096578,-100.9599166667,19.9828055556
PZE_109096578,-101.0881111111,20.0531944444
PZE_109096578,-101.3730833333,20.1607222222
PZE_109096578,-101.4341666667,20.1338055556
PZE_109096578,-101.2354166667,19.9646111111
PZE_109096578,-102.0898333333,20.7195555556
PZE_109096578,-98.8637222222,19.1397777778
PZE_109096578,-99.59,19.12
PZE_109096578,-98.9146111111,19.5025277778
PZE_109096578,-99.6270555556,19.4074722222
SYN27200,-102.0684444444,20.1393888889
SYN27200,-98.8661388889,19.22625
SYN27200,-100.64,19.68
SYN27200,-102.37,20.17
SYN27200,-101.61,19.42
SYN27200,-99.03,18.97
SYN27200,-101.49,20.11
SYN27200,-101.64,19.42
SYN27200,-100.8848888889,19.9917222222
SYN27200,-100.8496666667,19.9581944444
SYN27200,-100.9599166667,19.9828055556
SYN27200,-101.0881111111,20.0531944444
SYN27200,-101.3730833333,20.1607222222
SYN27200,-101.4341666667,20.1338055556
SYN27200,-101.2354166667,19.9646111111
SYN27200,-102.0898333333,20.7195555556
SYN27200,-98.9146111111,19.5025277778
SYN27200,-99.6270555556,19.4074722222
SYN32365,-102.0684444444,20.1393888889
SYN32365,-98.8661388889,19.22625
SYN32365,-100.64,19.68
SYN32365,-102.37,20.17
SYN32365,-101.61,19.42
SYN32365,-99.03,18.97
SYN32365,-101.49,20.11
SYN32365,-98.1854166667,19.1594722222
SYN32365,-101.64,19.42
SYN32365,-100.8848888889,19.9917222222
SYN32365,-100.8496666667,19.9581944444
SYN32365,-100.9599166667,19.9828055556
SYN32365,-101.0881111111,20.0531944444
SYN32365,-101.3730833333,20.1607222222
SYN32365,-101.4341666667,20.1338055556
SYN32365,-101.2354166667,19.9646111111
SYN32365,-102.0898333333,20.7195555556
SYN32365,-98.9146111111,19.5025277778
SYN32365,-99.6270555556,19.4074722222
SYN37470,-102.0684444444,20.1393888889
SYN37470,-98.8661388889,19.22625
SYN37470,-102.37,20.17
SYN37470,-101.61,19.42
SYN37470,-99.03,18.97
SYN37470,-101.49,20.11
SYN37470,-101.64,19.42
SYN37470,-100.8848888889,19.9917222222
SYN37470,-100.8496666667,19.9581944444
SYN37470,-100.9599166667,19.9828055556
SYN37470,-101.0881111111,20.0531944444
SYN37470,-101.3730833333,20.1607222222
SYN37470,-101.4341666667,20.1338055556
SYN37470,-101.2354166667,19.9646111111
SYN37470,-102.0898333333,20.7195555556
SYN37470,-98.8637222222,19.1397777778
SYN37470,-98.9146111111,19.5025277778
SYN37470,-99.6270555556,19.4074722222
